1,24,22,1323 COLUMBUS AV,X,7/15/14,7/25/14,,,OUT,,Not Subject to the Program
2,24,24,321 COLUMBUS AV,X,6/4/14,6/4/14,,,IN,3,Screening Form Accepted
3,24,9,760 NORTH POINT ST,,6/10/14,7/30/15,6/10/14,7/30/15,OUT,,Screening Form and Optional Evaluation Form Approved
4,25,23,3030 LARKIN ST,X,7/16/14,7/16/14,7/16/14,7/18/14,OUT,,Screening Form and Optional Evaluation Form Approved
5,26,7,812 BAY ST,X,11/7/14,11/7/14,,,IN,3,Permit Issued
6,26,019C,865 NORTH POINT ST,X,7/18/14,7/18/14,,,IN,3,Screening Form Accepted
7,26,13,838 BAY ST,X,9/11/14,9/11/14,,,IN,3,Screening Form Accepted
8,26,10,828 BAY ST,X,5/5/14,5/5/14,2/5/15,3/10/15,OUT,,Screening Form and Optional Evaluation Form Approved
9,27,4,714 BAY ST,X,2/28/14,2/28/14,,,IN,3,Screening Form Accepted
10,28,7,2640 LEAVENWORTH ST,X,8/15/14,8/19/14,,,OUT,,Not Subject to the Program
11,32,2,2310 POWELL ST,X,7/16/14,7/29/14,,,OUT,,Not Subject to the Program
12,32,1,2211 STOCKTON ST,X,7/16/14,7/29/14,,,OUT,,Not Subject to the Program
13,33,3,160 BAY ST,X,7/16/14,7/29/14,,,OUT,,Not Subject to the Program
14,39,12,238 FRANCISCO ST,X,9/5/14,12/23/14,,,OUT,,Not Subject to the Program
15,39,20,2130 STOCKTON ST,X,9/12/14,6/11/15,,,OUT,,Not Subject to the Program
16,39,23,125 BAY ST,X,1/24/14,1/24/14,,,IN,3,"Work Complete, CFC Issued"
17,39,58,33 MIDWAY ST,X,1/26/16,2/11/16,,,OUT,,Not Subject to the Program
18,39,45,2120 STOCKTON ST,X,6/16/14,6/16/14,8/10/14,12/23/14,OUT,,Screening Form and Optional Evaluation Form Approved
19,40,11,350 FRANCISCO ST,X,3/11/14,3/11/14,,,IN,4,"Work Complete, CFC Issued"
20,40,18,227 BAY ST,X,9/3/14,9/15/14,,,OUT,,Not Subject to the Program
21,40,1,2133 STOCKTON ST,X,9/10/14,10/16/14,,,OUT,,Not Subject to the Program
22,40,20,225 BAY ST,X,7/28/14,7/28/14,,,IN,4,Screening Form Accepted
23,41,127,84 VANDEWATER ST,,8/19/14,9/2/14,,,OUT,,Not Subject to the Program
24,41,35,22 VANDEWATER ST,X,9/10/14,4/27/15,,,OUT,,Not Subject to the Program
25,41,10,424 FRANCISCO ST,X,12/9/14,12/9/14,,,IN,4,Screening Form Accepted
26,44,003D,55 BRET HARTE TR,X,8/30/14,12/23/14,,,OUT,,Not Subject to the Program
27,44,18,653 BAY ST,X,9/15/14,9/15/14,,,IN,3,Screening Form Accepted
28,44,30,766 FRANCISCO ST,X,12/16/13,12/16/13,,,IN,3,Screening Form Accepted
29,44,11,649 BAY ST,X,7/15/14,7/15/14,,,IN,3,Screening Form Accepted
30,45,010D,785 BAY ST,X,2/5/14,2/5/14,,,IN,3,Work Complete
31,45,52,2555 LEAVENWORTH ST,X,5/21/14,8/21/14,,,OUT,,Not Subject to the Program
32,45,91,2540 HYDE ST,X,8/23/14,3/31/15,,,OUT,,Not Subject to the Program
33,45,010C,2560 HYDE ST,X,8/5/14,8/5/14,,,IN,3,Screening Form Accepted
34,45,010B,777 BAY ST,X,10/29/13,10/29/13,,,IN,3,Screening Form Accepted
35,48,16,970 CHESTNUT ST,X,5/29/14,5/29/14,,,IN,3,Screening Form Accepted
36,50,001A,1050 COLUMBUS AV,X,11/26/13,11/26/13,,,IN,3,"Work Complete, CFC Issued"
37,50,7,780 CHESTNUT ST,X,4/23/14,4/25/14,,,OUT,,Not Subject to the Program
38,50,016A,2436 JONES ST,X,4/16/14,4/16/14,,,IN,3,Permit Issued
39,50,006A,31 HOUSTON ST,X,9/12/14,9/12/14,,,IN,3,Screening Form Accepted
40,50,9,2412 JONES ST,X,8/27/14,8/27/14,,,IN,4,Screening Form Accepted
41,51,008A,81 WATER ST,X,4/2/14,4/2/14,,,IN,4,Screening Form Accepted
42,51,8,2332 TAYLOR ST,X,6/3/14,6/3/14,,,IN,4,Screening Form Accepted
43,51,18,581 FRANCISCO ST,X,8/29/14,8/29/14,8/29/14,9/2/15,OUT,,Screening Form and Optional Evaluation Form Approved
44,52,22,2252 MASON ST,X,9/15/14,9/15/14,,,IN,3,Screening Form Accepted
45,52,21,2244 MASON ST,X,9/4/14,9/4/14,9/4/14,9/15/14,OUT,,Screening Form and Optional Evaluation Form Approved
46,53,5,434 CHESTNUT ST,X,6/16/14,6/16/14,,,IN,3,"Work Complete, CFC Issued"
47,53,3,2001 STOCKTON ST,X,7/28/14,7/28/14,,,IN,4,Permit Issued
48,53,002B,2025 STOCKTON ST,X,2/6/14,2/6/14,,,IN,3,Work Complete
49,53,002A,2015 STOCKTON ST,X,3/18/14,3/18/14,,,IN,4,Permit Issued
50,54,29,170 PFEIFFER ST,X,4/17/14,4/17/14,,,OUT,,Not Subject to the Program
51,54,016D,380 CHESTNUT ST,,8/15/14,8/19/14,,,OUT,,Not Subject to the Program
52,54,39,251 FRANCISCO ST,X,2/24/14,3/7/14,,,OUT,,Not Subject to the Program
53,54,45,123 PFEIFFER ST,X,9/15/14,9/15/14,,,IN,3,Screening Form Accepted
54,54,017A,175 PFEIFFER ST,X,7/28/14,7/28/14,,,IN,3,Screening Form Accepted
55,54,029A,275 FRANCISCO ST,X,7/29/14,7/29/14,,,IN,4,Screening Form Accepted
56,54,40,241 FRANCISCO ST,X,5/27/14,5/27/14,,,IN,3,Screening Form Accepted
57,59,167,156 LOMBARD ST,X,,,,,OUT,,Not Subject to the Program
58,59,139,154 LOMBARD ST,X,,,,,OUT,,Not Subject to the Program
59,60,16,199 CHESTNUT ST,X,5/5/14,5/5/14,,,IN,3,Screening Form Accepted
60,61,12,1820 GRANT AV,X,2/18/14,2/18/14,,,IN,3,"Work Complete, CFC Issued"
61,61,21,289 CHESTNUT ST,X,9/12/14,9/12/14,,,IN,3,Permit Filed
62,61,41,1725 KEARNY ST,X,1/12/15,1/12/15,,,IN,3,Screening Form Accepted
63,62,5,1831 GRANT AV,X,4/25/14,4/25/14,,,IN,3,"Work Complete, CFC Issued"
64,62,23,367 CHESTNUT ST,X,9/5/14,9/5/14,,,IN,3,"Work Complete, CFC Issued"
65,62,14,444 LOMBARD ST,X,10/16/13,10/16/13,,,IN,3,"Work Complete, CFC Issued"
66,62,43,1821 GRANT AV,X,8/7/14,8/7/14,,,IN,3,Permit Issued
67,62,28,321 CHESTNUT ST,X,5/6/14,5/6/14,,,OUT,,Not Subject to the Program
68,62,13,434 LOMBARD ST,X,8/4/14,8/4/14,,,IN,3,Screening Form Accepted
69,62,32,454 LOMBARD ST,X,6/4/14,6/4/14,,,IN,3,Screening Form Accepted
70,62,017B,490 LOMBARD ST,X,7/30/14,7/30/14,,,IN,3,Screening Form Accepted
71,62,26,333 CHESTNUT ST,X,5/28/14,6/9/14,5/28/14,6/9/14,OUT,,Screening Form and Optional Evaluation Form Approved
72,63,5,1929 STOCKTON ST,X,2/25/14,2/25/14,,,IN,3,Permit Filed
73,63,24,475 CHESTNUT ST,X,11/5/14,12/23/14,,,OUT,,Not Subject to the Program
74,63,28,427 CHESTNUT ST,X,7/11/14,12/12/14,,,OUT,,Not Subject to the Program
75,63,23,2050 POWELL ST,X,2/11/14,2/11/14,,,IN,4,Screening Form Accepted
76,63,17,566 LOMBARD ST,X,8/21/14,8/21/14,,,IN,3,Screening Form Accepted
77,64,17,2100 MASON ST,X,3/11/14,3/11/14,,,IN,3,Permit Issued
78,64,6,2027 POWELL ST,X,7/10/14,7/10/14,,,IN,3,"Work Complete, CFC Issued"
79,64,2,2055 POWELL ST,X,6/9/14,6/9/14,,,IN,3,Permit Issued
80,64,28,549 CHESTNUT ST,X,8/8/14,8/26/15,,,OUT,,Not Subject to the Program
81,64,15,670 LOMBARD ST,X,8/29/14,8/29/14,,,IN,4,Screening Form Accepted
82,64,11,640 LOMBARD ST,X,7/21/14,7/21/14,,,IN,4,Screening Form Accepted
83,65,25,700 LOMBARD ST,X,7/31/14,7/31/14,,,IN,2,Permit Issued
84,65,15,790 LOMBARD ST,X,7/20/14,7/25/14,,,OUT,,Not Subject to the Program
85,65,015A,2210 TAYLOR ST,X,6/23/14,6/23/14,,,IN,4,Screening Form Accepted
86,65,2,2153 MASON ST,X,1/8/14,1/8/14,,,IN,4,Screening Form Accepted
87,65,10,724 LOMBARD ST,X,5/27/14,5/27/14,5/27/14,6/16/14,OUT,,Screening Form and Optional Evaluation Form Approved
88,66,12,2318 JONES ST,X,9/8/14,9/8/14,,,IN,3,Permit Issued
89,66,7,860 LOMBARD ST,X,7/2/14,7/2/14,,,IN,3,Screening Form Accepted
90,66,3,2205 TAYLOR ST,X,4/14/14,4/14/14,,,IN,4,Screening Form Accepted
91,67,1,801 CHESTNUT ST,X,7/21/14,8/27/15,,,IN,3,   Subject to the Program
92,69,12,2632 LARKIN ST,X,6/23/14,6/23/14,,,IN,3,Screening Form Accepted
93,71,5,2223 LEAVENWORTH ST,,9/2/14,9/2/14,,,IN,3,Permit Issued
94,71,10,2200 HYDE ST,X,8/29/14,8/29/14,,,IN,3,Screening Form Accepted
95,71,33,1025 LOMBARD ST,X,9/10/14,9/10/14,,,IN,3,Screening Form Accepted
96,72,8,2200 LEAVENWORTH ST,X,10/22/13,11/1/13,,,OUT,,Not Subject to the Program
97,72,008B,2230 LEAVENWORTH ST,X,7/28/14,7/28/14,,,IN,3,Screening Form Accepted
98,72,23,1040 GREENWICH ST,X,4/30/14,3/10/16,,,OUT,,Not Subject to the Program
99,73,18,857 LOMBARD ST,X,3/13/14,3/13/14,,,IN,3,Permit Issued
100,73,3,2127 TAYLOR ST,X,7/29/14,7/29/14,,,IN,3,Permit Issued
101,73,22,819 LOMBARD ST,X,7/21/14,7/21/14,,,IN,3,Permit Issued
102,73,6,942 GREENWICH ST,X,11/25/13,11/25/13,,,IN,3,Screening Form Accepted
103,73,009A,962 GREENWICH ST,X,9/11/14,9/11/14,,,IN,3,Screening Form Accepted
104,74,009B,888 GREENWICH ST,X,3/26/14,3/26/14,,,IN,4,"Work Complete, CFC Issued"
105,74,009C,864 GREENWICH ST,X,7/28/14,7/28/14,,,IN,3,Permit Issued
106,74,009A,876 GREENWICH ST,X,6/30/14,8/13/15,,,OUT,,Not Subject to the Program
107,74,9,860 GREENWICH ST,X,7/14/14,7/14/14,,,IN,3,Screening Form Accepted
108,74,43,2150 TAYLOR ST,X,3/27/14,3/27/14,,,IN,3,Screening Form Accepted
109,74,38,816 GREENWICH ST,X,12/15/14,12/15/14,,,IN,3,Screening Form Accepted
110,74,45,2160 TAYLOR ST,X,7/17/14,7/17/14,,,IN,4,Screening Form Accepted
111,74,39,824 GREENWICH ST,X,9/11/14,9/11/14,,,IN,4,Screening Form Accepted
112,74,5,840 GREENWICH ST,X,7/25/14,7/25/14,,,IN,4,Screening Form Accepted
113,74,003A,810 GREENWICH ST,X,5/23/14,5/23/14,,,IN,4,Screening Form Accepted
114,76,15,666 GREENWICH ST,X,8/29/14,8/29/14,,,IN,3,"Work Complete, CFC Issued"
115,76,26,567 LOMBARD ST,X,9/12/14,10/2/14,,,OUT,,Not Subject to the Program
116,76,6,1815 STOCKTON ST,X,9/3/14,9/3/14,,,IN,3,Screening Form Accepted
117,76,001A,1869 STOCKTON ST,X,4/23/14,4/23/14,,,IN,3,Screening Form Accepted
118,76,17,1906 POWELL ST,X,2/24/14,2/24/14,,,IN,4,Screening Form Accepted
119,76,027A,559 LOMBARD ST,X,8/27/14,8/27/14,,,IN,3,Screening Form Accepted
120,76,3,1847 STOCKTON ST,X,8/21/14,8/21/14,,,IN,3,Screening Form Accepted
121,76,025A,1956 POWELL ST,X,5/23/14,6/17/14,5/23/14,6/17/14,OUT,,Screening Form and Optional Evaluation Form Approved
122,77,5,40 EDITH ST,X,9/30/13,9/30/13,,,IN,3,Work Complete
123,77,38,433 LOMBARD ST,X,7/17/14,7/29/14,,,OUT,,Not Subject to the Program
124,77,40,10 EDGARDO PL,X,11/6/13,11/8/13,,,OUT,,Not Subject to the Program
125,77,2,12 EDITH ST,X,5/5/14,5/5/14,,,OUT,,Not Subject to the Program
126,77,21,568 GREENWICH ST,X,10/24/14,10/30/14,,,OUT,,Not Subject to the Program
127,77,11,500 GREENWICH ST,X,6/24/14,6/24/14,,,IN,3,Screening Form Accepted
128,77,30,1848 STOCKTON ST,X,3/6/14,3/6/14,,,IN,3,Screening Form Accepted
129,78,55,241 TELEGRAPH HILL BL,X,6/13/14,6/13/14,,,IN,3,"Work Complete, CFC Issued"
130,78,83,201 TELEGRAPH HILL BL,X,9/9/14,9/15/14,,,OUT,,Not Subject to the Program
131,78,001C,275 TELEGRAPH HILL BL,X,1/27/14,2/7/14,,,OUT,,Not Subject to the Program
132,78,8,444 GREENWICH ST,X,8/11/14,6/11/15,,,OUT,,Not Subject to the Program
133,78,63,373 LOMBARD ST,X,6/4/14,8/11/14,,,OUT,,Not Subject to the Program
